libspectre 0.2.9-2
libsrtp 1:2.3.0-1
libssh 0.9.5-1
libssh2 1.9.0-3
libstemmer 0+713-2
libsynctex 2021.58686-3
libtar 1.2.20-5
libtasn1 4.17.0-1
libteam 1.31-3
libtermkey 0.22-2
libthai 0.1.28-2
libtheora 1.1.1-5
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtommath 1.2.0-3
libtool 2.4.6+42+gb88cebd5-16
libunistring 0.9.10-3
libunwind 1.5.0-1
libupnp 1.14.7-1
libusb 1.0.24-2
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libutf8proc 2.6.1-1
libuv 1.41.0-1
libva 2.11.0-1
libva-mesa-driver 21.1.1-1
libvdpau 1.4-1
libvisual 0.4.0-8
libvncserver 0.9.13-1
libvorbis 1.3.7-2
libvpx 1.10.0-1
libvterm 0.1.3.git1.65dbda-1
libwacom 1.10-1
libwebp 1.2.0-1
libx11 1.7.1-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.20-1
libxcursor 1.2.0-2
libxdamage 1.1.5-3
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfixes 6.0.0-1
libxfont2 2.0.4-3
libxft 2.3.3-2
libxi 1.7.10-3
libxinerama 1.1.4-3
libxkbcommon 1.3.0-1
libxkbcommon-x11 1.3.0-1
libxkbfile 1.1.0-2
libxml2 2.9.10-9
libxmu 1.1.3-2
libxpm 3.5.13-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-5
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2212+dfaf7534-2
libzip 1.7.3-2
licenses 20200427-1
lilv 0.24.12-1
linux 5.12.8.arch1-1
linux-api-headers 5.12.3-1
linux-firmware 20210511.7685cf4-1
llvm-libs 11.1.0-1
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lsd 0.20.1-1
lsof 4.94.0-1
lua52 5.2.4-5
luajit 2.0.5-3
lvm2 2.03.12-1
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.53-1
mailcommon 21.04.1-1
mailimporter 21.04.1-1
make 4.3-3
man-db 2.9.4-1
mariadb 10.5.10-1
mariadb-clients 10.5.10-1
mariadb-libs 10.5.10-1
markdownpart 21.04.1-1
mathjax2 2.7.9-1
mbox-importer 21.04.1-1
md4c 0.4.8-1
mdadm 4.1-2
media-player-info 24-2
mesa 21.1.1-1
mesa-vdpau 21.1.1-1
messagelib 21.04.1-1
milou 5.21.5-1
minizip 1:1.2.11-4
mjpegtools 2.2.0-1
mkinitcpio 30-1
mkinitcpio-busybox 1.32.1-3
mlt6 6.26.1-4
mobile-broadband-provider-info 20201225-1
modemmanager 1.16.4-1
modemmanager-qt 5.82.0-1
mpfr 4.1.0-2
mpg123 1.27.2-1
mpv 1:0.33.1-2
msgpack-c 3.3.0-2
mtdev 1.1.6-1
mujs 1.1.2-1
mupdf 1.18.0-2
nano 5.7-1
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.31.2-1
neovim 0.4.4-1
net-snmp 5.9.1-1
nettle 3.7.2-1
networkmanager 1.30.4-3
networkmanager-qt 5.82.0-1
node-gyp 8.1.0-1
nodejs 16.2.0-1
noto-fonts 20201226-2
npm 7.15.1-1
npth 1.6-3
nspr 4.31-1
nss 3.66-1
okular 21.04.1-1
oniguruma 6.9.7.1-1
openal 1.21.1-1
opencore-amr 0.1.5-5
openexr 3.0.3-1
openjpeg2 2.4.0-1
openmpi 4.0.5-3
openssh 8.6p1-1
openssl 1.1.1.k-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.78-1
oxygen 5.21.5-1
p11-kit 0.23.22-1
pacman 6.0.0-2
pacman-mirrorlist 20210509-1
pam 1.5.1-1
pambase 20200721.1-2
pango 1:1.48.5-1
parted 3.4-2
partitionmanager 21.04.1-1
patch 2.7.6-8
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.37-1
perl 5.34.0-1
perl-alien-build 2.40-3
perl-alien-libxml2 0.17-2
perl-autovivification 0.18-7
perl-b-hooks-endofscope 0.24-4
perl-business-isbn 3.004-8
perl-business-isbn-data 20140910.003-8
perl-business-ismn 1.201-5
perl-business-issn 1.003-5
perl-capture-tiny 0.48-5
perl-class-accessor 0.51-2
perl-class-data-inheritable 0.08-9
perl-class-factory-util 1.7-10
perl-class-inspector 1.36-4
perl-class-load 0.25-2
perl-class-singleton 1.5-4
perl-clone 0.45-3
perl-data-compare 1.25-9
perl-data-dump 1.23-7
perl-data-optlist 0.110-7
perl-data-uniqid 0.12-9
perl-datetime 1.54-2
perl-datetime-calendar-julian 0.04-7
perl-datetime-format-builder 0.8100-8
perl-datetime-format-strptime 1.75-5
perl-datetime-locale 1.22-2
perl-datetime-timezone 2.47-1
perl-devel-stacktrace 2.03-5
perl-dist-checkconflicts 0.11-7
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-eval-closure 0.14-7
perl-exception-class 1.44-5
perl-exporter-tiny 1.002002-3
perl-ffi-checklib 0.28-2
perl-file-chdir 0.1011-4
perl-file-find-rule 0.34-8
perl-file-listing 6.14-2
perl-file-sharedir 1.116-5
perl-file-sharedir-install 0.13-5
perl-file-slurp-tiny 0.004-7
perl-file-slurper 0.012-5
perl-file-which 1.24-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.06-3
perl-http-date 6.05-4
perl-http-message 6.32-2
perl-http-negotiate 6.01-9
perl-inc-latest 0.500-8
perl-io-html 1.004-2
perl-io-socket-ssl 2.071-1
perl-io-string 1.08-12
perl-ipc-run3 0.048-9
perl-libwww 6.54-2
perl-lingua-translit 0.28-6
perl-list-allutils 0.16-3
perl-list-moreutils 0.430-2
perl-list-moreutils-xs 0.430-2
perl-list-someutils 0.56-5
perl-list-utilsby 0.11-5
perl-log-log4perl 1.54-2
perl-lwp-mediatypes 6.02-9
perl-lwp-protocol-https 6.10-2
perl-mailtools 2.21-5
perl-math-round 0.07-4
perl-mime-charset 1.012.2-8
perl-module-build 0.4231-5
perl-module-implementation 0.09-7
perl-module-runtime 0.016-2
perl-mozilla-ca 20200520-4
perl-mro-compat 0.13-6
perl-namespace-autoclean 0.29-3
perl-namespace-clean 0.27-7
perl-net-http 6.21-2
perl-net-ssleay 1.90-2
perl-number-compare 0.03-11
perl-package-deprecationmanager 0.17-7
perl-package-stash 0.39-2
perl-package-stash-xs 0.29-5
perl-params-util 1.102-2
perl-params-validate 1.29-6
perl-params-validationcompiler 0.30-4
perl-parse-recdescent 1.967015-2
perl-path-tiny 0.118-2
perl-perlio-utf8-strict 0.007-7
perl-regexp-common 2017060201-4
perl-role-tiny 2.001004-3
perl-sort-key 1.33-10
perl-specio 0.43-2
perl-sub-exporter 0.987-7
perl-sub-exporter-progressive 0.001013-7
perl-sub-identify 0.14-9
perl-sub-install 0.928-7
perl-sub-name 0.26-3
perl-test-fatal 0.016-2
perl-text-bibtex 0.85-7
perl-text-csv 2.00-2
perl-text-glob 0.11-8
perl-text-roman 3.5-8
perl-tie-cycle 1.225-6
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-unicode-linebreak 2019.001-4
perl-uri 5.09-2
perl-variable-magic 0.62-6
perl-www-robotrules 6.02-9
perl-xml-libxml 2.0207-2
perl-xml-libxml-simple 0.99-5
perl-xml-libxslt 1.99-3
perl-xml-namespacesupport 1.12-4
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-7
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
pidgin 2.14.4-2
pim-data-exporter 21.04.1-1
pim-sieve-editor 21.04.1-1
pimcommon 21.04.1-1
pinentry 1.1.1-1
pipewire 1:0.3.28-1
pixman 0.40.0-1
pkgconf 1.7.3-1
plasma-browser-integration 5.21.5-1
plasma-desktop 5.21.5-1
plasma-disks 5.21.5-1
plasma-firewall 5.21.5-1
plasma-framework 5.82.0-1
plasma-integration 5.21.5-1
plasma-nm 5.21.5-1
plasma-pa 5.21.5-1
plasma-sdk 5.21.5-1
plasma-systemmonitor 5.21.5-1
plasma-thunderbolt 5.21.5-1
plasma-vault 5.21.5-1
plasma-workspace 5.21.5-1
plasma-workspace-wallpapers 5.21.5-1
polkit 0.118-1
polkit-kde-agent 5.21.5-1
polkit-qt5 0.113.0-2
poppler 21.05.0-1
poppler-glib 21.05.0-1
poppler-qt5 21.05.0-1
popt 1.18-1
portaudio 1:19.7.0-1
postgresql 13.3-2
postgresql-libs 13.3-2
potrace 1.16-2
powerdevil 5.21.5-1
poxml 21.04.1-1
ppp 2.4.9-1
print-manager 21.04.1-1
prison 5.82.0-1
procps-ng 3.3.17-1
protobuf 3.16.0-1
protobuf-c 1.3.3-4
psmisc 23.4-1
pulseaudio 14.2-3
pulseaudio-qt 1.3-1
purple-facebook 0.9.6-4
purpose 5.82.0-1
python 3.9.5-3
python-anyio 3.1.0-1
python-appdirs 1.4.4-3
python-argon2_cffi 20.1.0-3
python-async_generator 1.10-5
python-attrs 21.2.0-1
python-babel 2.9.1-1
python-backcall 0.2.0-3
python-bleach 3.3.0-1
python-cachecontrol 0.12.6-3
python-cffi 1.14.5-1
python-chardet 4.0.0-2
